SteamID,RGL Sixes Division, RGL Highlander Division
76561198413604994,3,1
76561198856538058,7,3
76561198357313490,5,1
76561198294278902,3,3
76561198303081758,2,3
76561199134462656,2,3
76561198885528098,3,5
76561198970759258,3,3
76561198374236066,5,5
76561198346478792,3,7
76561198979494052,9,5
76561198178457461,7,3
76561199112655950,7,9
76561198939558155,9,5
76561198299604510,9,5
76561198180890982,7,2
76561198364820146,1,1
76561198215473168,1,1
76561198046899720,1,1
76561198417463803,2,2
76561198404434151,2,2
76561198449656454,2,2
76561199004097235,2,2
76561199030343810,2,2
76561198208382525,5,5
76561198313364985,5,9
76561199033601492,1,1
76561199573612789,1,1
76561198795689434,1,1
76561198085769348,2,1
76561198026080017,5,5
76561198302366619,3,2
76561198078777084,3,2
76561198122318259,3,5
